FDAARGOS575 Sp7 CF	9
Sp7 FDAARGOS575 CF	9
ado_ATCC ATCC33656 CF	3
ATCC33656 ado_ATCC CF	3
Nc4 WSM1271 CF	5
WSM1271 Nc4 CF	0
Nc4 Rf4 CF	5
Rf4 Nc4 CF	0
Nc4 WSM2075 CF	5
WSM2075 Nc4 CF	0
Nc4 S52 CF	5
S52 Nc4 CF	0
Nc4 ORS571 CF	5
ORS571 Nc4 CF	0
Nc4 SZ CF	5
SZ Nc4 CF	0
Nc4 PCA CF	5
PCA Nc4 CF	0
ASO3-1 JCM30893 CF	5
JCM30893 ASO3-1 CF	0
SI SM52 CF	5
SM52 SI CF	0
RS-1 S52 CF	5
S52 RS-1 CF	0
NU89 PAO1 CF	2
PAO1 NU89 CF	4
K288 MPOB CF	0
MPOB K288 CF	5
K288 Nb255 CF	0
Nb255 K288 CF	5
K288 X14 CF	0
X14 K288 CF	5
K288 UPMC901 CF	4
UPMC901 K288 CF	2
K288 SB CF	4
SB K288 CF	2
K288 Nb231 CF	0
Nb231 K288 CF	5
CWAy Zhang CF	1
Zhang CWAy CF	7
CWAy M38 CF	1
M38 CWAy CF	7
CWAy Nc4 CF	0
Nc4 CWAy CF	5
CWAy PAO1 CF	2
PAO1 CWAy CF	4
CWAy NBRC3202 CF	1
NBRC3202 CWAy CF	7
CWAy RS-1 CF	0
RS-1 CWAy CF	5
CWAy UMB0004 CF	1
UMB0004 CWAy CF	7
CWAy plant_ATCC CF	1
plant_ATCC CWAy CF	7
CWAy JJ CF	0
JJ CWAy CF	5
CWAy DSM2638 CF	0
DSM2638 CWAy CF	5
CWAy lac_ATCC CF	1
lac_ATCC CWAy CF	7
CWAy G2 CF	1
G2 CWAy CF	7
OF4 TSA2s CF	9
TSA2s OF4 CF	9
R1dM1 SI CF	0
SI R1dM1 CF	5
R1dM1 WSM2075 CF	5
WSM2075 R1dM1 CF	0
R1dM1 WSM1271 CF	5
WSM1271 R1dM1 CF	0
R1dM1 TK24-YQS040 CF	5
TK24-YQS040 R1dM1 CF	0
HL096PA1 MTH-04 CF	3
MTH-04 HL096PA1 CF	3
HL096PA1 HRM2 CF	0
HRM2 HL096PA1 CF	5
HL096PA1 R1dM1 CF	0
R1dM1 HL096PA1 CF	5
HL096PA1 LMG16247 CF	9
LMG16247 HL096PA1 CF	9
HL096PA1 PCA CF	1
PCA HL096PA1 CF	7
HL096PA1 SZ CF	1
SZ HL096PA1 CF	7
HL096PA1 T6-13N CF	3
T6-13N HL096PA1 CF	3
HL096PA1 lac_ATCC CF	1
lac_ATCC HL096PA1 CF	7
HL096PA1 Rf4 CF	1
Rf4 HL096PA1 CF	7
HL096PA1 NBRC3202 CF	1
NBRC3202 HL096PA1 CF	7
HL096PA1 PAO1 CF	2
PAO1 HL096PA1 CF	4
HL096PA1 M38 CF	1
M38 HL096PA1 CF	7
HL096PA1 NCTC11397 CF	3
NCTC11397 HL096PA1 CF	3
HL096PA1 plant_ATCC CF	1
plant_ATCC HL096PA1 CF	7
HL096PA1 J10fl CF	9
J10fl HL096PA1 CF	9
ATCC13047 TSA2s CF	9
TSA2s ATCC13047 CF	9
ATCC13047 Sp7 CF	9
Sp7 ATCC13047 CF	9
AYP1020 Sp7 CF	9
Sp7 AYP1020 CF	9
NCTC11397 PFRJS14 CF	3
PFRJS14 NCTC11397 CF	3
NCTC11397 WSM2075 CF	9
WSM2075 NCTC11397 CF	9
NCTC11397 WSM1271 CF	9
WSM1271 NCTC11397 CF	9
NCTC11397 TK24-YQS040 CF	3
TK24-YQS040 NCTC11397 CF	3
BJ001 HI2424 CF	9
HI2424 BJ001 CF	9
ATCC15700 L1-82 CF	3
L1-82 ATCC15700 CF	3
ATCC15700 DSM16841 CF	8
DSM16841 ATCC15700 CF	6
ATCC15700 EH1 CF	0
EH1 ATCC15700 CF	5
ATCC15700 DSMA194 CF	8
DSMA194 ATCC15700 CF	6
Bulgaricus CTG1 CF	7
CTG1 Bulgaricus CF	1
Bulgaricus PAO1 CF	2
PAO1 Bulgaricus CF	4
Bulgaricus DSM10331 CF	7
DSM10331 Bulgaricus CF	1
Bulgaricus DSM40736 CF	7
DSM40736 Bulgaricus CF	1
Bulgaricus J10fl CF	7
J10fl Bulgaricus CF	1
Bulgaricus NBRC13350 CF	7
NBRC13350 Bulgaricus CF	1
Bulgaricus HJW CF	7
HJW Bulgaricus CF	1
Bulgaricus WSM1271 CF	7
WSM1271 Bulgaricus CF	1
Bulgaricus HI2424 CF	7
HI2424 Bulgaricus CF	1
Bulgaricus TK24-YQS040 CF	7
TK24-YQS040 Bulgaricus CF	1
Bulgaricus DSM2032 CF	0
DSM2032 Bulgaricus CF	5
Bulgaricus M162 CF	7
M162 Bulgaricus CF	1
Bulgaricus HRM2 CF	0
HRM2 Bulgaricus CF	5
Bulgaricus MPOB CF	0
MPOB Bulgaricus CF	5
Bulgaricus DSM12680 CF	7
DSM12680 Bulgaricus CF	1
Bulgaricus WSM2075 CF	7
WSM2075 Bulgaricus CF	1
Bulgaricus H37Rv CF	7
H37Rv Bulgaricus CF	1
Bulgaricus LM5 CO	7
LM5 Bulgaricus CO	1
Bulgaricus PFRJS14 CF	7
PFRJS14 Bulgaricus CF	1
Bulgaricus FDAARGOS679 CF	7
FDAARGOS679 Bulgaricus CF	1
Bulgaricus 451SPAR CO	7
451SPAR Bulgaricus CO	1
Bulgaricus CICC22518 CF	7
CICC22518 Bulgaricus CF	1
Bulgaricus SI CF	0
SI Bulgaricus CF	5
Bulgaricus NGAS638 CO	7
NGAS638 Bulgaricus CO	1
Bulgaricus STHCIRM65 CF	7
STHCIRM65 Bulgaricus CF	1
Bulgaricus HB8 CF	7
HB8 Bulgaricus CF	1
Bulgaricus DSM2626 CF	7
DSM2626 Bulgaricus CF	1
